Genus,L10,S10,W10,feature_frequency
Unassigned,1.0,1.0,1.0,12865.0
g__Amoebophrya,0.0,1.0,1.0,393.0
g__Aureobasidium,1.0,1.0,1.0,69.0
g__Bathycoccus,0.0,1.0,1.0,685.0
g__Bicosta,1.0,1.0,1.0,72.0
g__Caecitellus,0.0,1.0,0.0,8.0
g__Calanoida,1.0,1.0,1.0,2760.0
g__Capitellida,0.0,0.0,1.0,177.0
g__Chaetoceros,1.0,1.0,1.0,821.0
g__Chrysochromulina,1.0,1.0,1.0,54.0
g__Chrysophyceae,1.0,1.0,0.0,70.0
g__Cinetochilum,1.0,0.0,0.0,2.0
g__Cryothecomonas,1.0,1.0,1.0,41.0
g__Cryptocaryon,1.0,1.0,0.0,134.0
g__Cryptomonadales,1.0,0.0,1.0,27.0
g__Cyclopoida,1.0,1.0,1.0,1119.0
g__Cydippida,0.0,0.0,1.0,418.0
g__D2P04A09,0.0,1.0,0.0,2.0
g__Diaphanoeca,1.0,0.0,1.0,34.0
g__Echiuroinea,1.0,0.0,0.0,2.0
g__Esquamula,1.0,0.0,0.0,8.0
g__Eucampia,1.0,0.0,0.0,13.0
g__Exophiala,0.0,1.0,1.0,23.0
g__Florenciella,0.0,1.0,1.0,21.0
g__Guinardia,1.0,0.0,0.0,6.0
g__Gymnodinium,1.0,0.0,1.0,195.0
g__Gyrodinium,1.0,0.0,1.0,1848.0
g__Haplozoon,1.0,0.0,1.0,74.0
g__Haptolina,1.0,0.0,0.0,6.0
g__Hemiselmis,1.0,1.0,1.0,43.0
g__Hydropunctaria,1.0,0.0,0.0,3.0
g__Hymenoptera,1.0,1.0,0.0,317.0
g__Karlodinium,1.0,0.0,0.0,261.0
g__Katablepharis,1.0,0.0,0.0,20.0
g__Leucocryptos,1.0,0.0,0.0,61.0
g__MAST-12A,0.0,1.0,0.0,25.0
g__MAST-12B,0.0,0.0,1.0,9.0
g__MAST-1A,1.0,1.0,1.0,877.0
g__MAST-1B,0.0,1.0,1.0,292.0
g__MAST-1C,1.0,1.0,1.0,143.0
g__MAST-2,1.0,1.0,1.0,134.0
g__MAST-3B,1.0,0.0,0.0,5.0
g__MAST-3E,1.0,1.0,1.0,16.0
g__MAST-3F,0.0,1.0,0.0,2.0
g__MAST-3I,0.0,1.0,0.0,8.0
g__MAST-4,0.0,1.0,1.0,133.0
g__MAST-4D,0.0,0.0,1.0,4.0
g__MAST-6,1.0,1.0,0.0,59.0
g__MAST-7A,1.0,1.0,1.0,272.0
g__MAST-7B,0.0,1.0,1.0,15.0
g__MAST-8,0.0,1.0,1.0,21.0
g__Magnoliophyta,0.0,0.0,1.0,147.0
g__Micromonas,0.0,1.0,1.0,620.0
g__Myoida,1.0,0.0,0.0,8.0
g__Myrionecta,1.0,1.0,0.0,22.0
g__Navicula,1.0,0.0,0.0,2.0
g__Neoceratium,1.0,0.0,0.0,6.0
g__Novel_Clade_2,1.0,0.0,0.0,75.0
g__OLI51059,0.0,0.0,1.0,4.0
g__Ostreococcus,0.0,0.0,1.0,4.0
g__Palpitomonas,1.0,1.0,1.0,104.0
g__Paradinium,0.0,1.0,0.0,2.0
g__Paraphysomonas,1.0,1.0,1.0,86.0
g__Pav3,1.0,0.0,0.0,2.0
g__Pedinellales,1.0,1.0,1.0,44.0
g__Pelagostrobilidium,1.0,1.0,1.0,149.0
g__Phaeocystis,1.0,1.0,1.0,987.0
g__Picochlorum,1.0,0.0,0.0,2.0
g__Picomonadida,0.0,1.0,1.0,36.0
g__Pithites,1.0,1.0,0.0,84.0
g__Ploimida,1.0,1.0,1.0,68.0
g__Pseudopirsonia,1.0,0.0,0.0,4.0
g__Pseudotontonia,0.0,1.0,0.0,19.0
g__Puccinia,1.0,1.0,0.0,313.0
g__Pyramimonas,1.0,1.0,1.0,17.0
g__Rimostrombidium,1.0,1.0,1.0,256.0
g__Sessilia,1.0,0.0,1.0,26.0
g__Skeletonema,1.0,0.0,0.0,135.0
g__Spionida,1.0,0.0,1.0,59.0
g__Spirotontonia,0.0,1.0,1.0,126.0
g__Spirotrichea,0.0,1.0,0.0,42.0
g__Stenosemella,1.0,0.0,1.0,42.0
g__Stephanoeca,0.0,0.0,1.0,2.0
g__Strombidium,1.0,1.0,1.0,594.0
g__Syndiniales_Group_I,1.0,1.0,1.0,1269.0
g__Syndiniales_Group_II,0.0,1.0,1.0,425.0
g__Syndiniales_Group_III,1.0,1.0,1.0,176.0
g__Teleaulax,1.0,1.0,1.0,2354.0
g__Telonema,1.0,0.0,1.0,277.0
g__Terebellida,0.0,1.0,0.0,6.0
g__Thalassiosira,1.0,0.0,1.0,797.0
g__Tintinnidium,1.0,1.0,0.0,40.0
g__Tintinnopsis,1.0,1.0,0.0,27.0
g__uncultured,1.0,1.0,1.0,4872.0
