Genus,L60,S60,W60,feature_frequency
Unassigned,1.0,1.0,1.0,12865.0
g__Akashiwo,1.0,0.0,0.0,7.0
g__Allas,1.0,0.0,0.0,3.0
g__Amoebophrya,1.0,1.0,1.0,393.0
g__Auranticordis,1.0,0.0,0.0,2.0
g__Aureobasidium,0.0,0.0,1.0,69.0
g__Bathycoccus,0.0,1.0,1.0,685.0
g__Bicosoecida,0.0,1.0,0.0,7.0
g__Bolidomonas,0.0,1.0,0.0,14.0
g__Calanoida,1.0,0.0,1.0,2760.0
g__Capitellida,1.0,1.0,0.0,177.0
g__Chaetoceros,1.0,1.0,0.0,821.0
g__Chrysochromulina,0.0,1.0,0.0,54.0
g__Cryptocaryon,0.0,1.0,0.0,134.0
g__Cyclopoida,1.0,1.0,1.0,1119.0
g__Cyphellophora,1.0,0.0,0.0,68.0
g__Diaphanoeca,1.0,0.0,1.0,34.0
g__Duboscquella,1.0,1.0,0.0,33.0
g__Epalxella,1.0,0.0,0.0,2.0
g__Exophiala,0.0,0.0,1.0,23.0
g__Gyrodinium,1.0,0.0,1.0,1848.0
g__Heterodinium,1.0,0.0,0.0,42.0
g__Hymenoptera,1.0,1.0,1.0,317.0
g__Karlodinium,1.0,0.0,1.0,261.0
g__Labyrinthulomycetes,0.0,0.0,1.0,3.0
g__Leptocylindrus,0.0,1.0,0.0,7.0
g__Leucocryptos,1.0,0.0,0.0,61.0
g__MAST-12B,1.0,0.0,0.0,9.0
g__MAST-1A,1.0,1.0,1.0,877.0
g__MAST-1B,1.0,1.0,1.0,292.0
g__MAST-1C,1.0,1.0,1.0,143.0
g__MAST-2,1.0,0.0,0.0,134.0
g__MAST-3J,0.0,0.0,1.0,2.0
g__MAST-4,1.0,1.0,1.0,133.0
g__MAST-7A,0.0,1.0,1.0,272.0
g__MAST-7B,0.0,1.0,0.0,15.0
g__Magnoliophyta,0.0,0.0,1.0,147.0
g__Marine_Choanoflagellates_1,1.0,1.0,0.0,12.0
g__Micromonas,0.0,1.0,0.0,620.0
g__Minorisa,0.0,1.0,0.0,5.0
g__Monstrilloida,1.0,1.0,1.0,18.0
g__Novel_Clade_2,1.0,0.0,0.0,75.0
g__Palpitomonas,0.0,1.0,1.0,104.0
g__Paraphysomonas,1.0,1.0,1.0,86.0
g__Pedinellales,0.0,1.0,0.0,44.0
g__Phaeocystis,1.0,1.0,1.0,987.0
g__Picomonadida,1.0,1.0,1.0,36.0
g__Picozoa,1.0,1.0,0.0,29.0
g__Pithites,0.0,1.0,1.0,84.0
g__Pleurasiga,1.0,1.0,0.0,12.0
g__Ploimida,1.0,0.0,0.0,68.0
g__Protaspis,1.0,0.0,1.0,24.0
g__Protosporangium,1.0,1.0,1.0,44.0
g__Puccinia,0.0,1.0,0.0,313.0
g__Rimostrombidium,0.0,0.0,1.0,256.0
g__Skeletonema,1.0,0.0,0.0,135.0
g__Spionida,1.0,0.0,1.0,59.0
g__Syndiniales_Group_I,1.0,1.0,1.0,1269.0
g__Syndiniales_Group_II,1.0,1.0,1.0,425.0
g__Syndiniales_Group_III,1.0,1.0,1.0,176.0
g__Syndiniales_Group_V,1.0,1.0,0.0,4.0
g__Teleaulax,1.0,1.0,0.0,2354.0
g__Telonema,1.0,0.0,0.0,277.0
g__Thalassiosira,1.0,0.0,1.0,797.0
g__Trachelotractus,1.0,0.0,0.0,2.0
g__Trachymedusae,1.0,0.0,1.0,433.0
g__uncultured,1.0,1.0,1.0,4872.0
